date,height,yield
1963.333333,-74.6,
1963.416667,-74.6,
1958,-80,0.01
1965.333333,-85.34,4.3
1966.666667,-87.88,
1963.5,-89.92,
1969.25,-90.25,
1967.583333,-90.83,
1964.666667,-91.44,
1966.916667,-93.68,
1961.75,-98.07,
1964.25,-114.5,2
1969.833333,-118,
1970.833333,-118,
1968.083333,-118.3,
1968.5,-118.7,
1964.583333,-119.8,
1957.583333,-150,0.01
1957.666667,-150,0.01
1958.416667,-150,9
1958.75,-150,0.038
1958.75,-150,0.015
1958.75,-150,0.0015
1958.75,-150,0.002
1958.833333,-150,0.0055
1966.25,-151,0.37
1967.083333,-152.1,0.15
1970.416667,-152.4,0.035
1967.333333,-152.7,
1969.333333,-181.3,0.8
1983.75,-182.9,
1988,-182.9,
1975.5,-183,
1978.333333,-183,
1985.666667,-183,
1972.5,-184.4,6
1987.166667,-186,
1962.583333,-190,104
1965.416667,-190.2,7
1965.5,-190.5,4
1969.75,-192,1
1970.833333,-192,2
1961.833333,-192.1,
1964.5,-192.6,0.5
1970,-194,2
1970,-194,2
1990,-196.9,
1967.833333,-197,
1962.416667,-198,
1979.75,-200,5
1981.166667,-200,
1981.666667,-200,
1983.666667,-200,2
1984.583333,-200,0.5
1976.833333,-200.1,0.6
1977,-200.3,
1987.5,-203,
1980,-205,
1984.416667,-207.3,0.8
1988.5,-207.3,
1977.583333,-208,0.6
1968.25,-209.1,1.5
1978.75,-210,0.25
1984.416667,-210,0.25
1969.666667,-213,1
1981.75,-213.2,
1990.333333,-213.4,0.1
1982.666667,-216,
1987.166667,-226,
1969,-228.3,20
1969,-228.3,2
1968.333333,-228.6,6
1982.75,-228.6,
1992.333333,-236,3
1988.5,-237.7,
1970.416667,-241,4
1962.833333,-241.3,12.5
1971.583333,-241.4,0.25
1992.5,-244,0.08
1985,-244.8,2.5
1962,-247.5,0.15
1969,-251,3
1970,-256,3
1964.833333,-258.9,7
1986.333333,-259.4,1.5
1989.75,-260,10
1962.5,-260.4,11
1964,-262,8
1987.166667,-262,
1964,-263.3,
1991.75,-263.8,1.5
1970.5,-264,2
1969.833333,-266.7,16.7
1970.083333,-266.7,8
1972.916667,-267,0.6
1990.75,-270.4,
1988,-270.6,2
1980.25,-271,1
1974.583333,-272,2
